"","name_text","desc_text","emails","category","logo"
"1"," Chi Theta Psi at UW","The mission of the Brotherhood of Chi Theta Psi shall be to fortify the Filipino through the four pillars of academic excellence, community service, cultural awareness, and unity. The Brotherhood shall empower the Filipino experience on campus by providing a platform for Filipino men to grow personally, professionally, and culturally. The brothers will also support the Filipino and Filipino American communities through service in order to…","bctp@uw.edu","FRATERNITIES & SORORITIES - UGC","https://uws-community.symplicity.com/files/66b/66bc4d85b285395353071fecadf17920.png"
"2","""LUX: Film Production Club""","LUX serves to fill the gap that exists within the University of Washington's video production community. LUX is designed to be a creative, open source, collaborative network that puts Directors, Actors, Cinematographers, Writers, Editors, Visual Effects Designers, Musicians, Sound Designers, and all around creatives alike underneath one roof. By doing this it serves to create a community of artists that can collaborate on each other's pro…","luxvideo@uw.edu","PERFORMING","https://uws-community.symplicity.com/files/c1b/c1b2eb6319083acb54434a615aae6bd9.png"
"3","""Tea Club"" ","Our goal is to spread a love for tea of all sorts, as well as educating students about many varieties of tea and methods of consumption",NA,"SPECIAL INTEREST","https://uws-community.symplicity.com/files/18c/18cefe7f82249ac0f7a7f4cd0b79276b.jpg"
"4","17th Ave House","To provide a place for college students to live in an encouraging environment where they can grow in their faith and have a great time; to show Jesus to the UW community by being involved, loving them, and serving them.","xvii@uw.edu","FRATERNITIES & SORORITIES - OTHER","https://uws-community.symplicity.com/files/c7a/c7aa894fe9851d22da2cb6a9dca31372.jpg"
"5","3D Printing Club, Washington Open Object Fabricators ","It shall be the purpose of this organization to educate interested UW students and other community members about Additive Manufacturing technology. This includes construction of the organization’s own printers, use of the organization’s printers for projects, public outreach events, and research and innovations with the technology for the benefit of Additive Manufacturing.","woof3d@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/bb3/bb3ae7f9b9afa6e5b1c13156fd60a299.png"
"6","Academy of Managed Care Pharmacy","To advance the quality and affordability of our health care system by promoting the application of medication-related research and education.","uwamcp@uw.edu","GRADUATE / PROFESSIONAL","https://uws-community.symplicity.com/files/9d1/9d16e080e44d720ab2a7a929dcf5232f.gif"
"7","Access Student Resource Group","The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students and to create opportunities for Access students to help the educational and service goals of the University and its greater community. For questions or comments,  write to ASRG at asrg@uw.edu","asrg@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/9bd/9bd738557b10640fc073fb543a056179.jpg"
"8","Active Minds at the University of Washington","Active Minds at UW is the newest chapter among over 400 currently at college campuses across the country. In association with the national organization, Active Minds, we strive to promote mental health awareness and education through campaigns, fundraising, informational meetings, and community-wide events. Examples of such campaigns and events include: Stress Less Week, Suicide Prevention Month, National Eating Disorders Awareness Week,…","actminds@uw.edu","HEALTH SCIENCES","https://uws-community.symplicity.com/files/69f/69f0b7e49be2b966fc2b50f7d8fc14d9.jpg"
"9","acts2fellowship","The purpose of our group is to live out our faith, grow in our love for God, and invite students to explore Christianity.  We want to create a tight knit community where students are comfortable with asking questions and learning more about the message of Jesus Christ.","a2f@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/ce6/ce6738ecdfae56d561236d5afc9ad38c.png"
"10","Actuarial Club","To network with local actuaries, build a campus community, inform students about the actuarial profession, and organize study groups for the actuarial exams.","Actuary@uw.edu","ACADEMIC","https://uws-community.symplicity.com/files/3b6/3b6b2650de038ce030ae5c956ac476b5.jpg"
"11","ADEA Chapter for Students, Residents and Fellows at the University of Washington","To promote academic careers in dentistry",NA,"MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/988/988a764428ee1125a0279ed2f5ea2c32.jpg"
"12","Advanced Robotics at the University of Washington","To promote the robotics community at the University of Washington, and to compete in the RoboMaster Competition. Additionally, we aim to create an across-campus community that works together on a large scale project in a semi-corporate atmosphere.","robomstr@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/3fd/3fdceeaa0d111c16e8f3d63c4bac9b31.png"
"13","Aerial Robotics Club","The purpose of this organization to promote the development of engineering skills through STEM work pertaining to multi-rotor drones. The Aerial Robotics Club is structured primarily to compete in inter-university competitions with a secondary focus of hosting multi-drone choreography performances, allowing for a collaboration between engineering and art. Aerial Robotics Club is an opportunity for students to engage with emerging drone te…",NA,"ENGINEERING","https://uws-community.symplicity.com/files/e01/e0199c5d3f7e5b44384962313db4bd0f.jpg"
"14","African Dance Club","To have a chance to share more of the African culture with UW.","adiallo@uw.edu","CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/6db/6dbc9d8f2f280c4b81201900f21d0aaf.jpg"
"15","African Student Association","To reach out to Africans on campus and beyond and bring them educational, cultural, and community enrichment.","uwasa@uw.edu","CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/d53/d532259f3611d6373f1924ce7df98b87.jpg"
"16","AIESEC in Seattle","AIESEC functions as an international platform for students to explore and develop their leadership potential by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences. Our mission statement is ""We strive to achieve peace and fulfillment of humankind's potential""","aiesecer@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/803/8035d923f504da170970ca79768c16ed.png"
"17","AIGA, the professional association for design | UW chapter","As the profession’s oldest and largest professional membership organization for design—with 70 chapters and more than 25,000 members—we advance design as a professional craft, strategic advantage, and vital cultural force. From content that defines the global practice to events that connect and catalyze, we work to enhance the value and deepen the impact of design across all disciplines on business, society, and our collective future.","aigauw09@uw.edu","ACADEMIC","https://uws-community.symplicity.com/files/e0c/e0c1a3064ca4954166bf99b524cb1158.png"
"18","Al-Maghrib Ambassadors","It shall be the purpose of this organization to unite the students of AlMaghrib Institute at the University of Washington, to help host AlMaghrib seminars and to encourage members to give back to their communities from what they learn from AlMaghrib.","ruhma206@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/4a1/4a128b613228822ebf840019cb2dcfed.jpg"
"19","Algorithmic Trading Club","The Algorithmic Trading Club is a collaborative community for students who are interested in the financial market, learning computational skills in finance and risk management, all the while exploring professional networks.","finegin@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/0bc/0bc3a88ea412c407042c5866b7921cc9.jpg"
"20","Alliance for Equal Representation in Medicine","The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communities.","afermuw@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/2b3/2b3a3a2f62418fcfb2fa4067c69bafcd.png"
"21","Alpha Delta Phi Fraternity","The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships.","eells@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/f7b/f7b097b229a1ae9ea878de74a3567698.png"
"22","Alpha Delta Pi","Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.","adpiuw@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/c04/c0489ba9dbadc12b926bcbf6e48d178f.jpeg"
"23","Alpha Epsilon Delta Pre-Medical Honor Society","We are dedicated to encouraging and recognizing excellence in pre-medical scholarship, bringing similarly minded people together, promoting community service, and empowering students to make informed decisions in the pursuit of healthcare professions.","aed@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/0b4/0b48b778ad7a6b1e15fe2bbabd8b4259.jpg"
"24","Alpha Epsilon Phi","The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our Jewish founders.","uwaephi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/5ef/5ef572a1d1d82bcc85c0a2e108c8857f.jpg"
"25","Alpha Epsilon Pi","To provide a Fraternity experience for young men on campus, an experience of both academic and social balance, in hopes of developing the next leaders of tomorrow.","aepi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/37c/37c4fb95dcc7630041c9d2ebacc36aca.jpeg"
"26","Alpha Gamma Delta","Alpha Gamma Delta is a women's fraternity based on the ideals of sisterhood, scholarship, and service.","agd@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/674/674fb15cd6269fc38bc72f9a01727228.jpg"
"27","alpha Kappa Delta Phi","The purpose of this Asian American interest sorority is to promote sisterhood, scholarship, leadership and Asian awareness in the university and community, while encouraging the expression of the individual. The sorority is composed of highly motivated women with diverse backgrounds, interests and fields of study. Each woman, however, shares a strong bond of love, friendship and sisterhood. With a supportive network of sisters, each woman…","akdphi@uw.edu","FRATERNITIES & SORORITIES - UGC","https://uws-community.symplicity.com/files/866/866902c99b228ccf98fa6edb61caf277.jpg"
"28","Alpha Kappa Psi Business Fraternity","To bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more.","akappsi@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/394/394dc618031df85f2669cb3a81d311af.png"
"29","Alpha Omega Campus Ministry","The purpose of this organization is to create a fun and safe environment for students to fellowship, and discuss Christianity and the bible.","alphao@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/a9f/a9f669ea583835bf18fc6c722a80ffd1.jpg"
"30","Alpha Omicron Pi","To encourage a spirit of Fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty; to strive for and support the interests of the colleges and universities in which chapters are installed and in no way to disregard, injure, or sacrifice those interests for the sake of prestige or advancement of the fraternity, or any of its chapters.","uwaoii@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/0e2/0e210d55079fd90e6f3968052f84be18.jpg"
"31","Alpha Phi","Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members.","alphaphi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/c66/c66d898899b800f9cc3bfae08f85f977.jpg"
"32","Alpha Phi Alpha Fraternity Incorporated","ALPHA PHI ALPHA FRATERNITY, INC. DEVELOPS LEADERS, PROMOTES BROTHERHOOD AND ACADEMIC EXCELLENCE, WHILE PROVIDING SERVICE AND ADVOCACY FOR OUR COMMUNITIES.",NA,"FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/ae3/ae364c94767f06bb64af43941e1b13e4.png"
"33","Alpha Phi Omega - Gamma Alpha","The UW Chapter of Alpha Phi Omega (a national co-ed service fraternity) is dedicated to fostering leadership, friendship, and service in our members so as to develop as servant leaders in the community.","apo@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/b16/b16c9913f591284e59520a8d76b62e44.png"
"34","Alpha Sigma Phi","To better the man.","alphasig@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/e01/e019ae27b101bd344aa5fe74603f34f6.png"
"35","Alpha Tau Omega","We strive to provide men of solid character a complete and rewarding college experience. Here at ATO we pride ourselves on continuing this tradition through social, academic, and personal growth. We are a strongly tied team of ambitious and genuine men working together to enrich and shape our college livelihood.","uwato@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/e5b/e5b0e01631836d21ca9a0f8ad5b26ef0.png"
"36","Alpha Theta Delta","A professional network empowering members of all backgrounds with a solid foundation in interdisciplinary design.",NA,"FRATERNITIES & SORORITIES - OTHER","https://uws-community.symplicity.com/files/5d4/5d40bb6a7f585b7d0a2239952fe6985a.png"
"37","Alpha Xi Delta Sorority ","Part of the Recognition Agreement between AXiD and UW, would love to become more affiliated with UW!","alphaxi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/993/993861bdf90f4c8ec33b1f907681bd33.jpg"
"38","American Academy of Developmental Medicine and Dentistry, University of Washington Chapter","Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have the most significant impact - the universities and healthcare centers where healthcare professionals are trained. Furthermore, we can enhance our contribution by working collaboratively with advocacy organizations an…","aadmd1@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/3ce/3ce8490b9f222b338111bd0041ac04c9.png"
