"","name_text","id","more_info","desc","emails","category","logo","fb"
"1","(LUX) Film Production Club","grpl_0ab1993fceb864cd188492ddfef33cf4","?mode=form&id=0ab1993fceb864cd188492ddfef33cf4&tab=profile","LUX serves to fill the gap that exists within the University of Washington's video production community. LUX is designed to be a creative, open source, collaborative network that puts Directors, Actors, Cinematographers, Writers, Editors, Visual Effects Designers, Musicians, Sound Designers, and all around creatives alike underneath one roof. By doing this it serves to create a community of artists that can collaborate on each other's projects. The club also features work, organizes festival deadlines, and connects to other schools to broaden it's networking abilities. To individuals who are new to the art of video production, LUX is also a learning platform where more experienced individuals have an opportunity to showcase what they have learned and even give keynotes on particular topics within film. LUX is a dynamic video platform that will evolve and expand.","luxvideo@uw.edu","PERFORMING","https://uws-community.symplicity.com/files/c1b/c1b2eb6319083acb54434a615aae6bd9.png","https://www.facebook.com/uwluxvideo/"
"2","17th Ave House","grpl_5bf9ea61bc46eaeff075cf8043c27c92","?mode=form&id=5bf9ea61bc46eaeff075cf8043c27c92&tab=profile","To provide a place for college students to live in an encouraging environment where they can grow in their faith and have a great time; to show Jesus to the UW community by being involved, loving them, and serving them.","xvii@uw.edu","FRATERNITIES & SORORITIES - OTHER","https://uws-community.symplicity.com/files/c7a/c7aa894fe9851d22da2cb6a9dca31372.jpg","https://www.facebook.com/17thavehouse/?fref=ts"
"3","3D Printing Club, Washington Open Object Fabricators ","grpl_17e4ea613be85fe019efcf728fb6361d","?mode=form&id=17e4ea613be85fe019efcf728fb6361d&tab=profile","It shall be the purpose of this organization to educate interested UW students and other community members about Additive Manufacturing technology. This includes construction of the organization’s own printers, use of the organization’s printers for projects, public outreach events, and research and innovations with the technology for the benefit of Additive Manufacturing.","woof3d@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/bb3/bb3ae7f9b9afa6e5b1c13156fd60a299.png","https://www.facebook.com/WOOF3DUW/?fref=ts"
"4","Acacia Fraternity","grpl_d593eb48fe26d58f616515366a1e677b","?mode=form&id=d593eb48fe26d58f616515366a1e677b&tab=profile","To foster the development of UW men through the five areas of academic achievement, community service, leadership, character building, and individual development.","acaciauw@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/93b/93b333fc5c6bec2e9fda1a5883bdb65b.png",NA
"5","Academy of Managed Care Pharmacy","grpl_5b445690da34b7cff962ee2bf254db9e","?mode=form&id=5b445690da34b7cff962ee2bf254db9e&tab=profile","To advance the quality and affordability of our health care system by promoting the application of medication-related research and education. ","uwamcp@uw.edu","GRADUATE / PROFESSIONAL","https://uws-community.symplicity.com/files/9d1/9d16e080e44d720ab2a7a929dcf5232f.gif",NA
"6","Access Student Resource Group","grpl_cd1ebcef22852bdb5301a243803a2909","?mode=form&id=cd1ebcef22852bdb5301a243803a2909&tab=profile","The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students and to create opportunities for Access students to help the educational and service goals of the University and its greater community. For questions or comments,  write to ASRG at asrg@uw.edu","asrg@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/9bd/9bd738557b10640fc073fb543a056179.jpg",NA
"7","Active Minds at the University of Washington","grpl_0a7da33f968a919ecfa06486f0787bc7","?mode=form&id=0a7da33f968a919ecfa06486f0787bc7&tab=profile","	Active Minds at UW is the newest chapter among over 400 currently at college campuses across the country. In association with the national organization, Active Minds, we strive to promote mental health awareness and education through campaigns, fundraising, informational meetings, and community-wide events. Examples of such campaigns and events include: Stress Less Week, Suicide Prevention Month, National Eating Disorders Awareness Week, etc.. Mental health disorders are an ever-growing problem in college. Unfortunately, most students suffer silently for fear of what others may think, or they simply don’t know where to start in getting help. It can be horribly isolating. Our goal is to provide a place where students can learn about mental health, and mental health issues. We hope to provide information about resources both on and off campus in order to promote help-seeking behaviors in individuals who may be able to benefit from them. We also work to relay the latest scholarly findings of mental health research and information as it pertains to college students. Mental health affects everyone in one way or another, which is why we need to bring Active Mind to UW. All students are welcome and encouraged to join. Please be sure to keep in mind that this is NOT a support group, and we do not provide any mental health counseling of any kind. We are not mental health professionals, but rather students interested in spreading mental health information and awareness, in order to stand up against the stigma surrounding mental health problems, and to promote a mentally healthy campus. Students with or without mental health issues are equally encouraged to join. ","actminds@uw.edu","HEALTH SCIENCES","https://uws-community.symplicity.com/files/69f/69f0b7e49be2b966fc2b50f7d8fc14d9.jpg","https://www.facebook.com/activemindsuwseattle"
"8","acts2fellowship","grpl_a6a6cbf50b45d1ef05f8965c69f462de","?mode=form&id=a6a6cbf50b45d1ef05f8965c69f462de&tab=profile","The purpose of our group is to live out our faith, grow in our love for God, and invite students to explore Christianity.  We want to create a tight knit community where students are comfortable with asking questions and learning more about the message of Jesus Christ.","a2f@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/ce6/ce6738ecdfae56d561236d5afc9ad38c.png","www.facebook.com/acts2fellowshipUW"
"9","Actuarial Club","grpl_3fed7efb36173632ae2eef14393f37fc","?mode=form&id=3fed7efb36173632ae2eef14393f37fc&tab=profile","To network with local actuaries, build a campus community, inform students about the actuarial profession, and organize study groups for the actuarial exams.","Actuary@uw.edu","ACADEMIC","https://uws-community.symplicity.com/files/3b6/3b6b2650de038ce030ae5c956ac476b5.jpg","https://www.facebook.com/uwactuarial   "
"10","ADEA Chapter for Students, Residents and Fellows at the University of Washington","grpl_f4e1e263109725bd4f99db9f70552b65","?mode=form&id=f4e1e263109725bd4f99db9f70552b65&tab=profile","To promote academic careers in dentistry",NA,"MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/988/988a764428ee1125a0279ed2f5ea2c32.jpg",NA
